query_id,domain,codes
train_0274,"Tax, social & financial",ATSG;IVG;UVG;BVG
train_0275,Civil & commercial,ZGB;OR;SchKG
train_0276,Other,KVG
train_0277,Other,BankG
train_0278,Public & administrative,RPG;USG
train_0279,Public & administrative,BV
train_0280,Civil & commercial,SchKG;OR
train_0281,Civil & commercial,ZGB
train_0282,Civil & commercial,OR
train_0284,Public & administrative,BV
train_0286,Civil & commercial,ZGB;IPRG
train_0287,Civil & commercial,ZGB;GBV
train_0288,Criminal,StPO;JStPO
train_0289,Public & administrative,BV
train_0290,"Tax, social & financial",DBG;StHG
train_0292,Other,FINIG
train_0293,Other,VStG
train_0295,Civil & commercial,ZGB;HRegV
train_0297,"Tax, social & financial",DBG;StHG
train_0298,Civil & commercial,ZGB
train_0299,"Tax, social & financial",UVG
train_0300,Civil & commercial,ZGB
train_0301,Civil & commercial,OR
train_0304,Other,PatG;UWG;OR
train_0309,Other,BankG
train_0312,Civil & commercial,ZGB
train_0313,Civil & commercial,ZGB;IPRG
train_0314,Other,PatG;UWG;OR
train_0315,Civil & commercial,OR
train_0317,Criminal,StGB
train_0319,Other,PatG
train_0320,Civil & commercial,ZGB
train_0322,Criminal,StGB
train_0324,Public & administrative,AIG
train_0325,Criminal,StGB
train_0326,Civil & commercial,MSchG;OR
train_0328,Criminal,StGB;StPO
train_0329,Civil & commercial,ZGB
train_0330,Civil & commercial,OR
train_0331,Civil & commercial,ZGB
train_0332,Other,KVG
train_0335,Other,KVG
train_0336,"Tax, social & financial",ATSG
train_0337,Civil & commercial,ZGB
train_0338,Other,AsylG
train_0339,Civil & commercial,OR
train_0340,Civil & commercial,SVG;OR
train_0341,Other,AsylG
train_0342,"Tax, social & financial",DBG;StHG
train_0343,Criminal,StGB
train_0344,Other,UEG
train_0345,Other,Polizeigesetz;BV
train_0346,Other,BankG
train_0347,Criminal,StGB
train_0349,Procedure & enforcement,SchKG
train_0351,Criminal,JStG;StGB
train_0352,Civil & commercial,ZGB
train_0353,"Tax, social & financial",DBG;StHG
train_0354,Civil & commercial,ZGB
train_0355,Other,BüG;VwVG
train_0356,Civil & commercial,OR;ZGB
train_0357,Criminal,StPO;JStG;StGB
train_0358,Public & administrative,BV;DSG
train_0359,Civil & commercial,OR
train_0360,Criminal,StPO
train_0362,Public & administrative,AIG;BV;BüG
train_0363,"Tax, social & financial",AHVG;ATSG
train_0364,Civil & commercial,OR
train_0365,Criminal,StPO;JStG
train_0366,Civil & commercial,ZGB;ZPO;IPRG
train_0367,Civil & commercial,ZGB
train_0368,Civil & commercial,ZPO;SchKG;OR
train_0369,Public & administrative,VwVG;USG;RPG
train_0371,Public & administrative,BV
train_0372,Civil & commercial,IPRG;ZGB
train_0373,Civil & commercial,ZPO;OR
train_0374,"Tax, social & financial",DBG
train_0375,Procedure & enforcement,VwVG;BGG
train_0376,"Tax, social & financial",DBG;StHG;KAG
train_0377,Other,AsylG
train_0378,Civil & commercial,OR
train_0379,Civil & commercial,OR;BankG
train_0380,Other,
train_0381,"Tax, social & financial",UVG;ATSG
train_0382,Criminal,JStG
train_0383,Civil & commercial,ZPO
train_0384,Civil & commercial,ZGB
train_0385,Civil & commercial,ZGB
train_0387,Civil & commercial,ZGB
train_0388,"Tax, social & financial",DBG;StHG
train_0389,Civil & commercial,ZGB
train_0390,"Tax, social & financial",DBG;StHG
train_0391,Civil & commercial,OR
train_0392,Other,StAhiG
train_0393,Public & administrative,RPG;USG
train_0394,Other,BüG;BV
train_0395,Civil & commercial,ZGB
train_0396,Other,BankG
train_0397,Criminal,JStG
train_0398,Public & administrative,VwVG;USG;RPG
train_0399,Civil & commercial,ZPO;OR;SchKG
train_0400,"Tax, social & financial",DBG
train_0401,Civil & commercial,ZGB
train_0402,Criminal,StGB;BV
train_0403,Civil & commercial,IPRG;ZGB
train_0404,Criminal,StPO;BetmG
train_0405,Procedure & enforcement,SchKG
train_0407,Civil & commercial,OR
train_0408,"Tax, social & financial",DBG
train_0409,"Tax, social & financial",FINMAG
train_0410,Other,BüG
train_0411,"Tax, social & financial",UVG;ATSG
train_0412,Other,VStG
train_0414,Public & administrative,USG
train_0415,Other,BankG
train_0416,Civil & commercial,IPRG;ZPO
train_0417,Civil & commercial,OR
train_0418,Public & administrative,USG
train_0420,Civil & commercial,ZGB;URG
train_0421,"Tax, social & financial",AHVG
train_0422,Criminal,JStG
train_0423,Civil & commercial,OR;IPRG
train_0424,Civil & commercial,ZGB
train_0425,Civil & commercial,OR
train_0426,Public & administrative,BV
train_0427,Civil & commercial,OR;ZPO
train_0428,Civil & commercial,OR
train_0429,Other,FZA;AIG
train_0430,Other,StAhiG;DBG
train_0432,Other,AsylG;AIG
train_0433,Other,AsylG
train_0434,Public & administrative,AIG
train_0435,Other,EleG;VwVG
train_0436,"Tax, social & financial",FIDLEG
train_0438,Other,EBG;VwVG
train_0439,Civil & commercial,ZGB
train_0440,Civil & commercial,OR;PatG
train_0441,Criminal,StPO;JStG
train_0442,Other,BüG
train_0443,Other,KVG
train_0444,Civil & commercial,ZGB;BVG
train_0445,Criminal,StGB;BetmG
train_0446,Criminal,StPO
train_0447,Public & administrative,URG
train_0448,Criminal,StGB;StPO
train_0449,"Tax, social & financial",UVG
train_0450,Public & administrative,BV
train_0451,"Tax, social & financial",UVG
train_0453,Public & administrative,BV;ZGB
train_0454,"Tax, social & financial",ATSG;AHVG;UVG
train_0455,Criminal,StPO
train_0456,Procedure & enforcement,SchKG
train_0457,Criminal,StGB
train_0459,"Tax, social & financial",DBG
train_0460,Civil & commercial,OR
train_0461,Civil & commercial,ZGB
train_0462,Procedure & enforcement,SchKG;OR
train_0463,Other,NBG
train_0464,Civil & commercial,ZGB;ZPO
train_0465,Civil & commercial,ZGB
train_0466,Other,PatG
train_0467,"Tax, social & financial",DBG
train_0469,Criminal,StGB;JStG
train_0470,Criminal,StPO
train_0472,Civil & commercial,OR
train_0473,Civil & commercial,ZGB;GBV
train_0474,Criminal,StGB
train_0475,Public & administrative,VwVG;BV;BGG
train_0476,"Tax, social & financial",AHVG
train_0477,"Tax, social & financial",FINMAG
train_0478,"Tax, social & financial",DBG
train_0479,Criminal,StPO
train_0480,Civil & commercial,IPRG;ZPO
train_0481,Civil & commercial,ZGB;SchKG
train_0483,Other,KVG
train_0484,Other,VVG;SVG
train_0485,Civil & commercial,ZGB
train_0486,Public & administrative,BV
train_0487,Other,JStPO
train_0488,Criminal,StGB;JStPO
train_0489,Public & administrative,RPG;NHG
train_0490,Other,FinfraG
train_0491,"Tax, social & financial",AHVG;ATSG
train_0492,Other,VStG
train_0493,Public & administrative,BV;AIG
train_0494,"Tax, social & financial",UVG;ATSG
train_0495,Civil & commercial,ZPO
train_0496,Civil & commercial,ZPO
train_0497,Civil & commercial,ZGB
train_0498,Public & administrative,RPG
train_0499,Criminal,ChemG;VStrR
train_0500,Civil & commercial,IPRG
train_0501,Civil & commercial,OR
train_0502,Civil & commercial,IPRG
train_0503,Other,GwG
train_0504,Civil & commercial,ZGB
train_0505,Criminal,StGB
train_0507,Civil & commercial,OR
train_0508,Other,VStG
train_0509,Public & administrative,BV
train_0510,Procedure & enforcement,BGG
train_0511,Civil & commercial,OR
train_0512,Other,KGTG
train_0514,Other,EleG
train_0515,Public & administrative,URG
train_0516,Other,KVG
train_0517,Civil & commercial,ZPO
train_0519,Other,MSchG
train_0520,"Tax, social & financial",FIDLEG
train_0521,Civil & commercial,ZGB
train_0522,Criminal,StGB;JStG
train_0524,Criminal,StPO
train_0525,Civil & commercial,OR
train_0526,Civil & commercial,ZGB
train_0527,"Tax, social & financial",AHVG;ATSG
train_0528,Civil & commercial,ZGB
train_0529,Civil & commercial,ZPO;SchKG
train_0532,Civil & commercial,ZGB
train_0533,"Tax, social & financial",StHG;DBG
train_0534,Other,AsylG
train_0535,Civil & commercial,ZGB
train_0536,"Tax, social & financial",BVG
train_0537,Civil & commercial,IPRG
train_0538,"Tax, social & financial",VAG
train_0539,Other,BüG
train_0540,Criminal,StGB
train_0541,Criminal,StGB;JStPO
train_0542,Public & administrative,AIG
train_0543,Other,KG
train_0544,Civil & commercial,ZGB;BVG
train_0545,Other,PatG
train_0546,Public & administrative,URG
train_0547,Civil & commercial,ZGB
train_0548,Public & administrative,USG
train_0549,Criminal,StGB
train_0550,Other,AsylG
train_0552,Other,
train_0553,Criminal,StPO
train_0554,Other,AsylG
train_0555,Civil & commercial,ZGB
train_0556,Criminal,JStG
train_0557,Civil & commercial,OR
train_0559,Criminal,StGB
train_0560,Civil & commercial,OR
train_0561,Other,KVG
train_0563,Public & administrative,BV
train_0564,Public & administrative,AIG
train_0565,Criminal,StGB
train_0566,Criminal,StGB
train_0567,Other,KGTG
train_0569,"Tax, social & financial",DBG
train_0570,Civil & commercial,ZPO
train_0571,"Tax, social & financial",AHVG
train_0572,Civil & commercial,OR;ZPO
train_0573,"Tax, social & financial",DBG
train_0574,Criminal,JStG
train_0576,Procedure & enforcement,SchKG
train_0577,Civil & commercial,ZGB
train_0578,"Tax, social & financial",DBG;OR
train_0579,Public & administrative,USG;RPG
train_0580,Civil & commercial,IPRG;ZGB
train_0581,Civil & commercial,ZGB
train_0582,Civil & commercial,ZGB
train_0583,Public & administrative,VwVG;FINMAG
train_0584,Criminal,StPO;JStG
train_0585,"Tax, social & financial",DBG
train_0587,"Tax, social & financial",DBG;UVG
train_0588,Public & administrative,VwVG
train_0589,Other,KVG
train_0590,Public & administrative,URG
train_0592,Civil & commercial,OR
train_0593,Procedure & enforcement,BGG;BV
train_0594,Civil & commercial,ZGB
train_0595,Civil & commercial,ZGB
train_0596,Other,KVG
train_0597,Criminal,BetmG;StGB
train_0598,Criminal,StGB;BV
train_0599,Civil & commercial,ZGB
train_0600,Civil & commercial,OR
train_0602,Public & administrative,USG
train_0603,Public & administrative,URG
train_0604,"Tax, social & financial",DBG;OR
train_0606,"Tax, social & financial",BVG
train_0607,Civil & commercial,ZGB
train_0608,"Tax, social & financial",DBG
train_0609,Civil & commercial,IPRG
train_0610,Other,KGTG
train_0611,Civil & commercial,ZGB
train_0612,Other,PatG;MSchG
train_0613,Civil & commercial,ZPO;ZGB
train_0614,Other,FinfraG
train_0615,Public & administrative,BV
train_0617,Public & administrative,RPG
train_0618,Other,PatG;MSchG;UWG
train_0619,Civil & commercial,ZPO;ZGB
train_0620,Criminal,StGB
train_0621,Civil & commercial,ZGB
train_0623,Civil & commercial,OR
train_0625,Other,EOG;BV
train_0626,Civil & commercial,OR
train_0627,Criminal,StGB;StPO
train_0628,"Tax, social & financial",DBG
train_0629,Other,FinfraG
train_0630,Public & administrative,BV
train_0631,Civil & commercial,ZGB;IPRG
train_0633,Other,KG
train_0634,Other,MSchG
train_0635,Civil & commercial,ZGB;IPRG
train_0636,Civil & commercial,OR
train_0637,Public & administrative,USG;RPG
train_0638,"Tax, social & financial",DBG
train_0639,Procedure & enforcement,SchKG
train_0640,"Tax, social & financial",DBG
train_0641,Public & administrative,RPG
train_0642,Other,IRSG;BankG
train_0643,Procedure & enforcement,SchKG
train_0644,Criminal,StGB
train_0645,Civil & commercial,IPRG;OR
train_0646,Public & administrative,URG
train_0647,"Tax, social & financial",DBG
train_0648,Public & administrative,URG
train_0649,Civil & commercial,ZGB
train_0650,Civil & commercial,IPRG
train_0651,"Tax, social & financial",UVG
train_0652,Other,BankG
train_0653,Criminal,StGB;StPO
train_0654,Public & administrative,DSG
train_0655,Procedure & enforcement,SchKG
train_0656,Criminal,StGB
train_0657,Civil & commercial,IPRG;OR
train_0658,Civil & commercial,ZGB
train_0659,Civil & commercial,ZGB
train_0660,Civil & commercial,ZGB
train_0661,Civil & commercial,IPRG
train_0662,Criminal,StGB;BetmG
train_0663,Civil & commercial,ZGB
train_0664,Civil & commercial,ZGB;RPG
train_0665,Public & administrative,AIG
train_0666,Other,ArG
train_0667,"Tax, social & financial",FIDLEG
train_0668,Other,BankG
train_0671,Other,VStG
train_0672,Public & administrative,BV
train_0673,Civil & commercial,IPRG;OR
train_0674,Criminal,JStPO
train_0675,Civil & commercial,IPRG;OR
train_0676,Public & administrative,URG
train_0677,Criminal,JStG
train_0678,Criminal,JStPO
train_0679,Other,EnG
train_0681,Public & administrative,BV
train_0682,Public & administrative,USG
train_0683,Civil & commercial,ZGB
train_0684,Civil & commercial,ZGB
train_0685,Other,FIDLEG;FINIG
train_0686,Other,KKG
train_0687,Public & administrative,NHG
train_0688,"Tax, social & financial",ATSG
train_0690,"Tax, social & financial",DBG
train_0691,Civil & commercial,ZGB;IPRG
train_0692,Civil & commercial,ZGB;GBV
train_0694,Public & administrative,BV;BPR
train_0695,Civil & commercial,OR
train_0696,Criminal,StGB;JStG
train_0697,Criminal,StGB
train_0698,Public & administrative,VwVG;BV
train_0699,Other,KVG
train_0700,Civil & commercial,OR
train_0702,Criminal,StGB;JStG
train_0703,Other,WaG
train_0705,"Tax, social & financial",DBG;StHG
train_0706,Civil & commercial,ZGB
train_0707,Other,MSchG;OR
train_0708,Criminal,StGB;SVG
train_0709,Other,PatG;OR
train_0710,Other,URG;UWG
train_0711,Other,PrHG
train_0712,Public & administrative,RPG
train_0713,Criminal,StGB
train_0714,Civil & commercial,IPRG
train_0715,Other,BV
train_0716,Civil & commercial,OR
train_0717,Other,ArG
train_0718,Criminal,StGB;StPO
train_0719,"Tax, social & financial",UVG
train_0721,Other,ArG
train_0722,"Tax, social & financial",UVG;ATSG
train_0724,Civil & commercial,ZGB
train_0725,"Tax, social & financial",UVG
train_0726,Other,WaG;USG
train_0727,"Tax, social & financial",UVG
train_0728,Civil & commercial,ZGB
train_0729,Civil & commercial,IPRG
train_0730,Civil & commercial,ZGB
train_0731,Public & administrative,BV;VwVG;StGB
train_0732,Civil & commercial,ZGB
train_0733,Civil & commercial,ZGB;SchKG
train_0734,Other,JStPO
train_0735,Criminal,BV;StGB
train_0736,"Tax, social & financial",FINMAG
train_0737,"Tax, social & financial",FINMAG
train_0738,"Tax, social & financial",VAG
train_0739,Criminal,StGB
train_0741,Other,UEG
train_0742,Civil & commercial,ZGB
train_0743,Civil & commercial,OR
train_0744,Procedure & enforcement,BGG
train_0745,Civil & commercial,OR
train_0746,Public & administrative,BV
train_0747,"Tax, social & financial",DBG
train_0748,Public & administrative,BV
train_0749,Civil & commercial,ZGB
train_0750,"Tax, social & financial",IVG
train_0752,Civil & commercial,ZGB
train_0753,Criminal,StPO
train_0754,Civil & commercial,ZGB
train_0755,"Tax, social & financial",FIDLEG
train_0757,"Tax, social & financial",DBG
train_0758,Civil & commercial,IPRG
train_0759,Criminal,StPO
train_0760,Civil & commercial,ZPO;SchKG
train_0761,Civil & commercial,ZGB
train_0762,Public & administrative,RPG;USG
train_0763,Civil & commercial,ZGB
train_0764,Other,FinfraG
train_0765,Other,FinfraG
train_0766,Civil & commercial,ZGB
train_0767,Public & administrative,BV;AIG
train_0769,Civil & commercial,OR
train_0771,"Tax, social & financial",DBG
train_0772,"Tax, social & financial",DBG
train_0773,Other,AsylG
train_0774,Civil & commercial,ZGB
train_0775,Public & administrative,RPG
train_0776,Procedure & enforcement,SchKG
train_0777,Criminal,StGB
train_0778,Civil & commercial,OR
train_0779,Criminal,StPO
train_0780,Civil & commercial,OR
train_0781,Criminal,StPO
train_0782,"Tax, social & financial",AHVG;UVG;BVG
train_0783,Criminal,StGB
train_0784,"Tax, social & financial",BVG
train_0785,Other,PrHG;PrSG
train_0786,Civil & commercial,ZGB
train_0787,Civil & commercial,ZGB
train_0788,Civil & commercial,ZGB
train_0789,Other,SebG
train_0790,Public & administrative,BV
train_0791,Civil & commercial,ZPO
train_0792,"Tax, social & financial",FINMAG
train_0793,Public & administrative,BV
train_0794,Civil & commercial,OR
train_0795,Public & administrative,VwVG
train_0796,Public & administrative,AIG
train_0797,Civil & commercial,SVG;OR
train_0798,Civil & commercial,ZGB
train_0800,Public & administrative,URG
train_0801,Civil & commercial,ZGB
train_0802,Other,KVG
train_0803,Criminal,StGB
train_0804,Public & administrative,VwVG
train_0805,Civil & commercial,ZPO;SchKG
train_0806,Criminal,JStG;StPO
train_0808,Civil & commercial,ZGB
train_0809,Criminal,StPO;StGB
train_0811,Other,HMG
train_0814,Other,SebG
train_0815,Other,GSchG
train_0816,Civil & commercial,OR;ZPO
train_0817,Public & administrative,DSG
train_0818,"Tax, social & financial",DBG
train_0819,Other,VStG
train_0821,Other,KVG
train_0822,Other,EBG;EntG
train_0823,Civil & commercial,OR
train_0824,Civil & commercial,ZGB
train_0825,Civil & commercial,ZGB;OR
train_0826,Civil & commercial,OR
train_0827,Criminal,JStG
train_0830,Other,UEG
train_0833,"Tax, social & financial",BVG
train_0834,"Tax, social & financial",UVG;IVG
train_0835,Other,VStG
train_0836,Civil & commercial,ZGB
train_0837,Public & administrative,AIG
train_0838,Civil & commercial,ZPO;OR
train_0839,"Tax, social & financial",DBG
train_0840,Civil & commercial,ZPO
train_0841,Civil & commercial,OR
train_0842,Civil & commercial,OR
train_0843,"Tax, social & financial",FIDLEG
train_0844,Criminal,StPO;JStG;StGB
train_0845,Civil & commercial,ZPO
train_0846,Other,KGTG
train_0847,Civil & commercial,ZGB
train_0848,Public & administrative,BuG;BV
train_0849,Criminal,StGB
train_0851,Criminal,StGB
train_0853,Public & administrative,BV
train_0854,Civil & commercial,ZPO
train_0855,Civil & commercial,ZPO
train_0856,Criminal,ChemG;VStrR
train_0857,Public & administrative,RPG
train_0861,Criminal,StGB;StPO
train_0862,Other,AsylG
train_0863,"Tax, social & financial",FINMAG
train_0864,Public & administrative,VwVG
train_0865,Other,AsylG
train_0866,Criminal,StGB
train_0867,Criminal,StGB;JStG;StPO
train_0868,Civil & commercial,ZGB
train_0869,Criminal,StGB;StPO
train_0870,Other,AsylG
train_0871,Civil & commercial,ZGB
train_0872,"Tax, social & financial",DBG
train_0873,Criminal,StGB;SVG
train_0874,Other,SVG;VVG
train_0875,Other,BankG
train_0876,Criminal,StGB
train_0877,"Tax, social & financial",BVG;IPRG
train_0878,Other,AVIG
train_0879,Public & administrative,URG
train_0880,Civil & commercial,OR
train_0882,Public & administrative,RPG
train_0883,Public & administrative,RPG
train_0884,"Tax, social & financial",BVG
train_0886,"Tax, social & financial",IVG;ATSG
train_0887,"Tax, social & financial",DBG
train_0888,Public & administrative,BuG
train_0889,Civil & commercial,ZGB
train_0890,Civil & commercial,ZPO
train_0891,Civil & commercial,IPRG;ZGB
train_0892,Other,PatG
train_0895,Civil & commercial,OR
train_0896,Criminal,StGB
train_0897,Public & administrative,URG
train_0898,Public & administrative,RTVG;BV
train_0899,"Tax, social & financial",DBG
train_0900,Other,VStG
train_0901,Civil & commercial,OR;VVG
train_0902,Other,AsylG
train_0903,Public & administrative,VwVG
train_0904,Civil & commercial,ZGB
train_0905,"Tax, social & financial",DBG
train_0907,Civil & commercial,ZGB
train_0908,Civil & commercial,IPRG;LugU
train_0909,Civil & commercial,ZGB
train_0910,Civil & commercial,ZPO;OR
train_0912,Criminal,JStPO;StPO
